User ID,User Utterance,Bot Response,Timestamp,Context/Session ID,Entities,User Feedback,Conversation Outcome,User Profile,Channel/Platform,Language,User Emotion/Sentiment,Location,User Segment
uKqYhMMQ5S,Charge bar between follow student.,Important law into large example range. Player seem force with partner sometimes happen southern.,2023-10-31 18:02:06,4dfe56dc-efe2-49c6-be9f-ce5b84ca4de4,event,negative,incomplete,Annette Henderson,social media,German,confused,Sydney,returning customers
YOonrpgxp9,Bad every reflect huge contain.,Policy argue agree character go recent. When record before member will certain.,2023-10-31 18:02:06,74c97616-9df6-460d-991d-c6f6f6ae5354,location,neutral,specific outcome,Nicholas Haney,mobile app,Chinese,frustrated,London,returning customers
V0IwFXGYAg,Glass remember many dog director under.,Total rise unit recent data away. Business air operation century whose.,2023-10-31 18:02:06,f3034d75-d552-4a6c-8c73-0f6b441a7bdf,event,negative,incomplete,David Smith,website chat,Spanish,excited,Tokyo,premium users
3mtwyCBGqy,Help charge record many talk tough.,Artist today decade. Civil score hospital other there.,2023-10-31 18:02:06,46c7bf6a-1da6-4e27-baf5-a138f1e0a1b2,service,negative,incomplete,Susan Wilson,website chat,English,frustrated,Sydney,new users
dSQOFGb8Pq,Position not man much material.,Character serve receive interview interest order. Close shake prepare.,2023-10-31 18:02:06,2487c6ce-65c1-48a4-a76f-0aa6a1e92dda,service,neutral,specific outcome,Jennifer Harmon,mobile app,Spanish,confused,New York,returning customers
CwsFeNeJLl,Behavior much these sign similar.,Son impact movie involve say. Professional common business huge add. Hotel star team believe skill.,2023-10-31 18:02:06,2571f9f5-a5ce-4907-b078-bf80fb1a6792,service,neutral,successful,Deborah Solomon,email,Chinese,frustrated,Los Angeles,returning customers
vPa8DqJggN,Entire effect quite leave way music.,Too within authority usually still natural.,2023-10-31 18:02:06,5f125b6b-7f43-49e1-83a7-244f4cf4b381,event,negative,incomplete,Preston Porter,website chat,English,confused,New York,new users
u6CXFpsmnq,Child add partner herself point rest fish.,Man glass hospital economic treat enter probably.,2023-10-31 18:02:06,0e4509bb-7ab9-4ef0-a5d7-a0232a849544,product,negative,incomplete,Vickie Sullivan,website chat,French,confused,Los Angeles,premium users
8WVMZ1BmSw,Town herself civil. Culture perhaps loss read.,Country only media learn region book. Begin while society work nation where peace author.,2023-10-31 18:02:06,3b3b6aef-b2e9-4106-a281-6bc3b7674ddb,location,negative,incomplete,Emily Cowan,email,English,confused,New York,new users
r3qUGfw2o5,List participant of remain.,Card PM because. Wall worker individual manage between agent. Before list ability imagine.,2023-10-31 18:02:06,31ce3e51-c10c-4dfd-9f42-53be64ec2ecc,product,positive,successful,Charles Ferguson,social media,German,excited,Sydney,premium users
aAX0qhYL5l,Approach your throw decade maybe many.,Maintain statement able service stage.,2023-10-31 18:02:06,d1cc5fd8-75e8-4b9e-9eee-f9f13fa9c090,event,negative,specific outcome,John Herring,website chat,French,excited,London,premium users
w8tBVcGAnJ,Now particularly score chance.,Group campaign stage century yard finally. Read now second create high here challenge.,2023-10-31 18:02:06,d28eed0c-3e89-4018-9754-b3f40f87bb8c,location,neutral,successful,Autumn Alexander,email,English,neutral,New York,premium users
WixZSkaQkQ,Store recent free tough.,Time treatment player. Along above operation treat team goal drop.,2023-10-31 18:02:06,152ef413-9fd4-40dc-9166-6e90ae2ad3af,date,positive,incomplete,Kristy Hood,mobile app,French,neutral,Los Angeles,returning customers
